Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65ce1fe51768174c8c687025,63089d7c2b7355354a6b9783,AWAITING REVIEW,2024-02-15T14:30:00.818000Z,2024-02-15T14:39:22.093000Z,,2024-02-15T14:39:22.613262Z,562,CVPIIDEI,282,22,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65ce1fe1fe757f0f82149a03,6540cb8b6ea99f5b626eb0d5,AWAITING REVIEW,2024-02-15T14:30:11.579000Z,2024-02-15T14:44:33.759000Z,,2024-02-15T14:44:34.385320Z,863,CVPIIDEI,279,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65ce1fff833f57efd0d46f7f,5dd31760fb7d41000c6610e3,AWAITING REVIEW,2024-02-15T14:30:33.555000Z,2024-02-15T14:42:23.035000Z,,2024-02-15T14:42:23.658273Z,710,CVPIIDEI,1816,34,Female,White,United States,United States,United States,English,No,Part-Time,Not Applicable
65ce2019508301bba9318c64,609a88c011993058c914a32a,AWAITING REVIEW,2024-02-15T14:30:56.910000Z,2024-02-15T14:49:34.236000Z,,2024-02-15T14:49:34.881505Z,1118,CVPIIDEI,315,30,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
65ce202c5c88af7bddb963ca,5ac70920a3ba7a0001b4ba8c,AWAITING REVIEW,2024-02-15T14:31:17.765000Z,2024-02-15T14:41:16.023000Z,,2024-02-15T14:41:16.612062Z,599,CVPIIDEI,128,38,Male,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED,Not Applicable
65ce20448b324d7ecb9de720,5d0dca2cecd8f60017eaddb3,AWAITING REVIEW,2024-02-15T14:31:32.602000Z,2024-02-15T15:20:59.457000Z,,2024-02-15T15:21:00.021941Z,2967,CVPIIDEI,1571,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65ce202f5407cc4cb6627879,632e0fd7424f2848637d173f,AWAITING REVIEW,2024-02-15T14:32:10.783000Z,2024-02-15T14:43:58.979000Z,,2024-02-15T14:44:00.535733Z,709,CVPIIDEI,8,36,Female,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65ce206c508301bba9318c70,65c10decdf7bb73782345cb3,AWAITING REVIEW,2024-02-15T14:32:16.274000Z,2024-02-15T14:48:57.802000Z,,2024-02-15T14:48:58.430881Z,1002,CVPIIDEI,48,33,Female,Black,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce20728ff48aeeb5371591,62ba281b9d7e1e055d098582,AWAITING REVIEW,2024-02-15T14:32:22.428000Z,2024-02-15T14:49:14.426000Z,,2024-02-15T14:49:15.021331Z,1012,CVPIIDEI,663,23,Female,Mixed,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce20787311e0807fe3bf8b,5dd0749782569a156ed4f658,AWAITING REVIEW,2024-02-15T14:32:31.249000Z,2024-02-15T14:41:09.699000Z,,2024-02-15T14:41:10.490522Z,519,CVPIIDEI,1805,30,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce207a780605d135385558,65c12143b109e591c2192ade,AWAITING REVIEW,2024-02-15T14:32:34.776000Z,2024-02-15T14:48:43.672000Z,,2024-02-15T14:48:44.945601Z,969,CVPIIDEI,23,39,Female,Black,United States,United States,United States,English,No,Full-Time,Not Applicable
65ce20889b5f597492d243dc,5cd8a78e0f0de600018e782f,AWAITING REVIEW,2024-02-15T14:34:41.713000Z,2024-02-15T15:05:13.306000Z,,2024-02-15T15:05:13.883077Z,1832,CVPIIDEI,3443,33,Male,Other,United States,United States,United States,English,No,DATA_EXPIRED,Not Applicable
65ce210a780605d135385585,5c082f58b5b7c80001dd5bf4,AWAITING REVIEW,2024-02-15T14:34:53.750000Z,2024-02-15T14:42:59.470000Z,,2024-02-15T14:43:00.013100Z,486,CVPIIDEI,137,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking),Not Applicable
